graph_name,num_node,num_edge,num_gpu,embedding_size,time(ms)
sx-stackoverflow,2601977,36233450,8,32,0.10899745623270671
sx-stackoverflow,2601977,36233450,8,64,0.14195216496785482
sx-stackoverflow,2601977,36233450,8,128,0.1983265240987142
sx-stackoverflow,2601977,36233450,8,256,0.2937291781107585
wiki-Talk,2394385,5021410,8,16,0.046647294362386064
wiki-Talk,2394385,5021410,8,32,0.04607981046040853
wiki-Talk,2394385,5021410,8,64,0.061107508341471356
wiki-Talk,2394385,5021410,8,128,0.07732202212015789
wiki-Talk,2394385,5021410,8,256,0.12111423810323078
roadNet-CA,1971281,5533214,8,16,0.03879370689392089
roadNet-CA,1971281,5533214,8,32,0.03643353780110677
roadNet-CA,1971281,5533214,8,64,0.05730029741923014
roadNet-CA,1971281,5533214,8,128,0.07206819852193196
roadNet-CA,1971281,5533214,8,256,0.10591850280761718
wiki-topcats,1791489,28511807,8,16,0.04222416877746582
wiki-topcats,1791489,28511807,8,32,0.05190982818603516
wiki-topcats,1791489,28511807,8,64,0.07884060541788737
wiki-topcats,1791489,28511807,8,128,0.12341421445210775
wiki-topcats,1791489,28511807,8,256,0.2366194248199463
as-Skitter,1696415,22190596,8,16,0.050734519958496094
as-Skitter,1696415,22190596,8,32,0.06557664871215821
as-Skitter,1696415,22190596,8,64,0.08993212381998697
as-Skitter,1696415,22190596,8,128,0.13560120264689127
as-Skitter,1696415,22190596,8,256,0.21299832661946613
roadNet-TX,1393383,3843320,8,16,0.052016194661458334
roadNet-TX,1393383,3843320,8,32,0.058884016672770184
roadNet-TX,1393383,3843320,8,64,0.06583695411682129
roadNet-TX,1393383,3843320,8,128,0.08003161748250325
roadNet-TX,1393383,3843320,8,256,0.08937215805053711
papers100m,111059956,1615685872,8,16,3.29001784324646
papers100m,111059956,1615685872,8,32,4.298517656326294
papers100m,oom,oom,oom,oom,oom
papers100m,oom,oom,oom,oom,oom
papers100m,oom,oom,oom,oom,oom
mag240m,244160499,1728364232,8,16,5.070676406224568
mag240m,oom,oom,oom,oom,oom
mag240m,oom,oom,oom,oom,oom
mag240m,oom,oom,oom,oom,oom
mag240m,oom,oom,oom,oom,oom
twitter7,41652230,1468365182,8,16,2.033516228199005
twitter7,41652230,1468365182,8,32,2.3941597938537598
twitter7,41652230,1468365182,8,64,2.9786781668663025
twitter7,oom,oom,oom,oom,oom
twitter7,oom,oom,oom,oom,oom
